Llave;Rut cliente;Rut deudor;N° doc.;Tipo doc.;Fecha_pago;Fecha_prórroga
76.938.024-8-76.758.933-6-2491-FZ;76.938.024-8;76.758.933-6;2491;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3177-FZ;76.754.328-K;96.566.940-K;3177;FZ;22/01/2025;01/01/1900
76.754.328-K-96.566.940-K-3183-FZ;76.754.328-K;96.566.940-K;3183;FZ;22/01/2025;01/01/1900
77.859.490-0-96.792.430-K-221766-FZ;77.859.490-0;96.792.430-K;221766;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3180-FZ;76.754.328-K;96.566.940-K;3180;FZ;22/01/2025;01/01/1900
89.853.600-9-76.885.476-9-3559-FS;89.853.600-9;76.885.476-9;3559;FS;01/01/1900;01/01/1900
76.724.361-8-70.933.700-9-26258-FS;76.724.361-8;70.933.700-9;26258;FS;01/01/1900;01/01/1900
89.853.600-9-77.142.412-0-3556-FS;89.853.600-9;77.142.412-0;3556;FS;01/01/1900;01/01/1900
77.545.580-2-87.049.000-3-24758-FZ;77.545.580-2;87.049.000-3;24758;FZ;01/01/1900;01/01/1900
76.886.533-7-76.986.803-8-15334-FZ;76.886.533-7;76.986.803-8;15334;FZ;01/01/1900;01/01/1900
85.698.200-9-85.698.200-9-14126-C1;85.698.200-9;85.698.200-9;14126;C1;31/01/2025;01/01/1900
76.392.214-6-91.619.000-K-539-FS;76.392.214-6;91.619.000-K;539;FS;01/01/1900;01/01/1900
76.946.856-0-96.661.820-5-1476-FZ;76.946.856-0;96.661.820-5;1476;FZ;01/01/1900;01/01/1900
77.722.697-5-77.722.697-5-14107-C1;77.722.697-5;77.722.697-5;14107;C1;31/01/2025;01/01/1900
77.545.580-2-87.049.000-3-24762-FZ;77.545.580-2;87.049.000-3;24762;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3188-FZ;76.754.328-K;96.566.940-K;3188;FZ;22/01/2025;01/01/1900
76.754.328-K-96.566.940-K-3187-FZ;76.754.328-K;96.566.940-K;3187;FZ;22/01/2025;01/01/1900
76.989.798-4-86.968.900-9-1869-FZ;76.989.798-4;86.968.900-9;1869;FZ;01/01/1900;01/01/1900
76.474.349-0-77.988.540-2-56348-FZ;76.474.349-0;77.988.540-2;56348;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3186-FZ;76.754.328-K;96.566.940-K;3186;FZ;22/01/2025;01/01/1900
71.614.000-8-76.296.619-0-115552-FS;71.614.000-8;76.296.619-0;115552;FS;01/01/1900;01/01/1900
76.622.416-4-94.623.000-6-8210-FZ;76.622.416-4;94.623.000-6;8210;FZ;01/01/1900;01/01/1900
78.590.360-9-96.862.140-8-9211-FZ;78.590.360-9;96.862.140-8;9211;FZ;01/01/1900;01/01/1900
77.114.898-0-77.648.672-8-371-F2;77.114.898-0;77.648.672-8;371;F2;31/01/2025;01/01/1900
76.411.439-6-61.704.000-K-461-FZ;76.411.439-6;61.704.000-K;461;FZ;01/01/1900;01/01/1900
78.793.360-2-99.538.350-0-6819523-CH;78.793.360-2;99.538.350-0;6819523;CH;31/01/2025;01/01/1900
77.146.267-7-59.301.810-5-326-FZ;77.146.267-7;59.301.810-5;326;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24874-FZ;77.545.580-2;77.780.170-8;24874;FZ;01/01/1900;01/01/1900
89.853.600-9-76.885.476-9-40142-FZ;89.853.600-9;76.885.476-9;40142;FZ;01/01/1900;01/01/1900
71.614.000-8-76.296.619-0-115596-FS;71.614.000-8;76.296.619-0;115596;FS;01/01/1900;01/01/1900
77.112.996-K-59.301.810-5-779-FZ;77.112.996-K;59.301.810-5;779;FZ;01/01/1900;01/01/1900
76.783.619-8-78.408.990-8-808-FZ;76.783.619-8;78.408.990-8;808;FZ;01/01/1900;01/01/1900
76.653.704-9-76.653.704-9-213826-C1;76.653.704-9;76.653.704-9;213826;C1;31/01/2025;01/01/1900
76.407.152-2-76.411.169-9-2467-FZ;76.407.152-2;76.411.169-9;2467;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3182-FZ;76.754.328-K;96.566.940-K;3182;FZ;22/01/2025;01/01/1900
77.545.580-2-83.109.000-6-24292-FZ;77.545.580-2;83.109.000-6;24292;FZ;01/01/1900;01/01/1900
76.156.056-5-76.479.379-K-4809-FZ;76.156.056-5;76.479.379-K;4809;FZ;01/01/1900;01/01/1900
76.946.856-0-79.982.490-6-1475-FZ;76.946.856-0;79.982.490-6;1475;FZ;01/01/1900;01/01/1900
77.032.389-4-93.659.000-4-1747-FR;77.032.389-4;93.659.000-4;1747;FR;01/01/1900;01/01/1900
71.614.000-8-76.296.619-0-114065-FS;71.614.000-8;76.296.619-0;114065;FS;01/01/1900;01/01/1900
77.859.490-0-84.071.600-7-219206-FZ;77.859.490-0;84.071.600-7;219206;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24875-FZ;77.545.580-2;77.780.170-8;24875;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24872-FZ;77.545.580-2;77.780.170-8;24872;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3181-FZ;76.754.328-K;96.566.940-K;3181;FZ;22/01/2025;01/01/1900
71.614.000-8-76.296.619-0-114024-FS;71.614.000-8;76.296.619-0;114024;FS;01/01/1900;01/01/1900
77.419.473-8-84.716.400-K-95-FZ;77.419.473-8;84.716.400-K;95;FZ;31/01/2025;01/01/1900
76.840.121-7-76.429.857-8-841-FZ;76.840.121-7;76.429.857-8;841;FZ;01/01/1900;01/01/1900
76.401.789-7-76.911.632-K-1784-FZ;76.401.789-7;76.911.632-K;1784;FZ;01/01/1900;01/01/1900
71.614.000-8-76.296.619-0-115768-RE;71.614.000-8;76.296.619-0;115768;RE;01/01/1900;01/01/1900
76.989.798-4-96.862.140-8-1870-FZ;76.989.798-4;96.862.140-8;1870;FZ;01/01/1900;01/01/1900
77.036.513-9-96.786.880-9-280-FZ;77.036.513-9;96.786.880-9;280;FZ;30/01/2025;01/01/1900
71.614.000-8-96.502.530-8-114723-FS;71.614.000-8;96.502.530-8;114723;FS;01/01/1900;01/01/1900
76.075.072-7-76.075.072-7-115186-CF;76.075.072-7;76.075.072-7;115186;CF;31/01/2025;01/01/1900
76.075.072-7-76.075.072-7-1115186-CF;76.075.072-7;76.075.072-7;1115186;CF;31/01/2025;01/01/1900
76.075.072-7-76.075.072-7-2115186-CF;76.075.072-7;76.075.072-7;2115186;CF;31/01/2025;01/01/1900
76.065.389-6-96.651.910-K-605-FZ;76.065.389-6;96.651.910-K;605;FZ;01/01/1900;01/01/1900
76.075.072-7-76.075.072-7-3115186-CF;76.075.072-7;76.075.072-7;3115186;CF;31/01/2025;01/01/1900
76.989.798-4-76.145.047-6-1840-FZ;76.989.798-4;76.145.047-6;1840;FZ;01/01/1900;01/01/1900
77.545.580-2-87.049.000-3-24761-FZ;77.545.580-2;87.049.000-3;24761;FZ;01/01/1900;01/01/1900
77.545.580-2-76.297.019-8-24735-FZ;77.545.580-2;76.297.019-8;24735;FZ;01/01/1900;01/01/1900
76.400.774-3-96.701.530-K-966-FZ;76.400.774-3;96.701.530-K;966;FZ;01/01/1900;01/01/1900
76.457.218-1-82.557.000-4-160-FZ;76.457.218-1;82.557.000-4;160;FZ;24/01/2025;01/01/1900
77.545.580-2-87.049.000-3-24757-FZ;77.545.580-2;87.049.000-3;24757;FZ;01/01/1900;01/01/1900
76.075.072-7-76.075.072-7-34135-CF;76.075.072-7;76.075.072-7;34135;CF;31/01/2025;01/01/1900
76.211.029-6-89.862.200-2-282-FZ;76.211.029-6;89.862.200-2;282;FZ;01/01/1900;01/01/1900
77.419.473-8-76.363.943-6-94-FZ;77.419.473-8;76.363.943-6;94;FZ;01/01/1900;01/01/1900
76.989.798-4-77.014.665-8-1890-FZ;76.989.798-4;77.014.665-8;1890;FZ;01/01/1900;01/01/1900
76.487.452-8-76.042.014-K-35040-FZ;76.487.452-8;76.042.014-K;35040;FZ;01/01/1900;01/01/1900
6.880.497-3-78.793.360-2-9634462-CH;6.880.497-3;78.793.360-2;9634462;CH;31/01/2025;01/01/1900
76.976.344-9-96.912.440-8-255-FZ;76.976.344-9;96.912.440-8;255;FZ;01/01/1900;01/01/1900
77.190.829-2-96.521.440-2-989-FZ;77.190.829-2;96.521.440-2;989;FZ;01/01/1900;01/01/1900
76.014.543-2-76.266.186-1-857-CH;76.014.543-2;76.266.186-1;857;CH;31/01/2025;01/01/1900
76.014.543-2-76.266.186-1-856-CH;76.014.543-2;76.266.186-1;856;CH;31/01/2025;01/01/1900
77.298.640-8-76.525.290-3-1481-FZ;77.298.640-8;76.525.290-3;1481;FZ;24/01/2025;01/01/1900
76.487.452-8-76.042.014-K-35020-FZ;76.487.452-8;76.042.014-K;35020;FZ;01/01/1900;01/01/1900
99.518.440-0-77.070.410-3-34936-FZ;99.518.440-0;77.070.410-3;34936;FZ;01/01/1900;01/01/1900
77.859.490-0-96.792.430-K-221767-FZ;77.859.490-0;96.792.430-K;221767;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24878-FZ;77.545.580-2;77.780.170-8;24878;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24877-FZ;77.545.580-2;77.780.170-8;24877;FZ;01/01/1900;01/01/1900
76.393.116-1-77.215.640-5-766-FZ;76.393.116-1;77.215.640-5;766;FZ;01/01/1900;01/01/1900
76.377.752-9-96.842.410-6-862-FZ;76.377.752-9;96.842.410-6;862;FZ;01/01/1900;01/01/1900
77.720.240-5-59.301.810-5-4253-FZ;77.720.240-5;59.301.810-5;4253;FZ;01/01/1900;01/01/1900
76.840.121-7-76.982.036-1-842-FZ;76.840.121-7;76.982.036-1;842;FZ;20/01/2025;01/01/1900
89.853.600-9-76.771.967-1-40150-FZ;89.853.600-9;76.771.967-1;40150;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24873-FZ;77.545.580-2;77.780.170-8;24873;FZ;01/01/1900;01/01/1900
89.853.600-9-76.771.967-1-40148-FZ;89.853.600-9;76.771.967-1;40148;FZ;01/01/1900;01/01/1900
76.007.177-3-77.738.717-0-5893-FZ;76.007.177-3;77.738.717-0;5893;FZ;01/01/1900;01/01/1900
77.348.018-4-76.412.326-3-179-FZ;77.348.018-4;76.412.326-3;179;FZ;01/01/1900;01/01/1900
71.614.000-8-96.504.160-5-114722-FS;71.614.000-8;96.504.160-5;114722;FS;01/01/1900;01/01/1900
76.487.452-8-76.042.014-K-34728-FZ;76.487.452-8;76.042.014-K;34728;FZ;01/01/1900;01/01/1900
76.135.572-4-76.962.871-1-2072-FZ;76.135.572-4;76.962.871-1;2072;FZ;17/01/2025;01/01/1900
77.545.580-2-87.049.000-3-24760-FZ;77.545.580-2;87.049.000-3;24760;FZ;01/01/1900;01/01/1900
77.554.626-3-76.969.493-5-141-FZ;77.554.626-3;76.969.493-5;141;FZ;01/01/1900;01/01/1900
76.724.361-8-61.608.502-6-26247-FS;76.724.361-8;61.608.502-6;26247;FS;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24876-FZ;77.545.580-2;77.780.170-8;24876;FZ;01/01/1900;01/01/1900
77.859.490-0-84.071.600-7-219380-FZ;77.859.490-0;84.071.600-7;219380;FZ;01/01/1900;01/01/1900
76.506.289-6-76.099.789-7-618-FZ;76.506.289-6;76.099.789-7;618;FZ;01/01/1900;01/01/1900
77.859.490-0-96.543.670-7-219025-FZ;77.859.490-0;96.543.670-7;219025;FZ;01/01/1900;01/01/1900
76.438.369-9-89.853.600-9-1111-FZ;76.438.369-9;89.853.600-9;1111;FZ;01/01/1900;01/01/1900
77.893.946-0-59.069.860-1-19-FZ;77.893.946-0;59.069.860-1;19;FZ;27/01/2025;01/01/1900
77.545.580-2-76.761.535-3-24883-FZ;77.545.580-2;76.761.535-3;24883;FZ;22/01/2025;01/01/1900
76.487.452-8-76.042.014-K-35002-FZ;76.487.452-8;76.042.014-K;35002;FZ;01/01/1900;01/01/1900
76.977.796-2-76.977.796-2-14134-GC;76.977.796-2;76.977.796-2;14134;GC;27/01/2025;01/01/1900
77.862.467-2-78.910.400-K-491-FZ;77.862.467-2;78.910.400-K;491;FZ;24/01/2025;01/01/1900
99.518.440-0-81.643.200-6-35083-FZ;99.518.440-0;81.643.200-6;35083;FZ;01/01/1900;01/01/1900
77.161.252-0-77.161.252-0-114104-C1;77.161.252-0;77.161.252-0;114104;C1;01/01/1900;01/01/1900
77.859.490-0-91.300.000-5-219301-FZ;77.859.490-0;91.300.000-5;219301;FZ;01/01/1900;01/01/1900
76.972.531-8-76.684.134-1-464-CH;76.972.531-8;76.684.134-1;464;CH;31/01/2025;01/01/1900
76.989.798-4-77.014.665-8-1874-FZ;76.989.798-4;77.014.665-8;1874;FZ;01/01/1900;01/01/1900
76.724.361-8-61.608.502-6-26432-FS;76.724.361-8;61.608.502-6;26432;FS;01/01/1900;01/01/1900
76.622.416-4-94.623.000-6-8140-FZ;76.622.416-4;94.623.000-6;8140;FZ;01/01/1900;01/01/1900
76.411.439-6-61.704.000-K-465-FZ;76.411.439-6;61.704.000-K;465;FZ;01/01/1900;01/01/1900
77.465.568-9-76.296.264-0-103-FZ;77.465.568-9;76.296.264-0;103;FZ;31/01/2025;01/01/1900
78.014.848-9-69.071.100-1-1-FZ;78.014.848-9;69.071.100-1;1;FZ;01/01/1900;01/01/1900
76.307.364-5-76.307.364-5-14027-GC;76.307.364-5;76.307.364-5;14027;GC;01/01/1900;01/01/1900
76.007.177-3-76.114.143-0-5901-FZ;76.007.177-3;76.114.143-0;5901;FZ;01/01/1900;01/01/1900
71.614.000-8-96.502.530-8-114681-FS;71.614.000-8;96.502.530-8;114681;FS;01/01/1900;01/01/1900
77.545.580-2-77.608.237-6-24764-FZ;77.545.580-2;77.608.237-6;24764;FZ;01/01/1900;01/01/1900
76.885.424-6-76.517.798-7-2032-FZ;76.885.424-6;76.517.798-7;2032;FZ;31/01/2025;01/01/1900
77.859.490-0-84.071.600-7-219112-FZ;77.859.490-0;84.071.600-7;219112;FZ;01/01/1900;01/01/1900
77.545.580-2-77.780.170-8-24879-FZ;77.545.580-2;77.780.170-8;24879;FZ;01/01/1900;01/01/1900
76.783.412-8-77.307.763-0-426-FZ;76.783.412-8;77.307.763-0;426;FZ;01/01/1900;01/01/1900
76.008.277-5-76.423.237-2-1548-FZ;76.008.277-5;76.423.237-2;1548;FZ;01/01/1900;01/01/1900
52.003.831-0-76.098.129-K-1905-FZ;52.003.831-0;76.098.129-K;1905;FZ;23/01/2025;01/01/1900
76.493.556-K-78.889.870-3-2682-FZ;76.493.556-K;78.889.870-3;2682;FZ;01/01/1900;01/01/1900
76.972.531-8-11.529.713-9-6890358-CH;76.972.531-8;11.529.713-9;6890358;CH;27/01/2025;01/01/1900
76.411.439-6-61.704.000-K-463-FZ;76.411.439-6;61.704.000-K;463;FZ;01/01/1900;01/01/1900
76.617.000-5-76.176.377-6-3282-FZ;76.617.000-5;76.176.377-6;3282;FZ;01/01/1900;01/01/1900
77.862.467-2-96.556.940-5-482-FZ;77.862.467-2;96.556.940-5;482;FZ;01/01/1900;01/01/1900
76.411.439-6-61.704.000-K-464-FZ;76.411.439-6;61.704.000-K;464;FZ;01/01/1900;01/01/1900
52.003.831-0-76.098.129-K-1897-FZ;52.003.831-0;76.098.129-K;1897;FZ;22/01/2025;01/01/1900
81.860.100-K-81.860.100-K-20014116-C1;81.860.100-K;81.860.100-K;20014116;C1;31/01/2025;01/01/1900
76.328.427-1-96.521.440-2-1540-FZ;76.328.427-1;96.521.440-2;1540;FZ;01/01/1900;01/01/1900
99.518.440-0-81.515.100-3-35082-FZ;99.518.440-0;81.515.100-3;35082;FZ;01/01/1900;01/01/1900
76.377.752-9-96.842.410-6-857-FZ;76.377.752-9;96.842.410-6;857;FZ;01/01/1900;01/01/1900
76.809.295-8-96.899.450-6-3593-FZ;76.809.295-8;96.899.450-6;3593;FZ;30/01/2025;01/01/1900
76.580.205-9-96.684.580-5-4329-FZ;76.580.205-9;96.684.580-5;4329;FZ;01/01/1900;01/01/1900
76.972.531-8-76.185.359-7-7703845-CH;76.972.531-8;76.185.359-7;7703845;CH;20/01/2025;01/01/1900
76.622.416-4-94.623.000-6-8113-FZ;76.622.416-4;94.623.000-6;8113;FZ;01/01/1900;01/01/1900
92.617.000-7-99.532.410-5-72720-FZ;92.617.000-7;99.532.410-5;72720;FZ;01/01/1900;01/01/1900
99.518.440-0-81.643.200-6-35085-FZ;99.518.440-0;81.643.200-6;35085;FZ;01/01/1900;01/01/1900
76.972.531-8-76.684.134-1-445-CH;76.972.531-8;76.684.134-1;445;CH;31/01/2025;01/01/1900
71.614.000-8-96.504.160-5-114680-FS;71.614.000-8;96.504.160-5;114680;FS;01/01/1900;01/01/1900
77.306.369-9-60.505.522-2-312-FZ;77.306.369-9;60.505.522-2;312;FZ;01/01/1900;01/01/1900
76.617.000-5-76.176.377-6-3281-FZ;76.617.000-5;76.176.377-6;3281;FZ;01/01/1900;01/01/1900
76.458.074-5-76.414.100-8-472-FS;76.458.074-5;76.414.100-8;472;FS;01/01/1900;01/01/1900
76.978.883-2-77.465.266-3-1036-F2;76.978.883-2;77.465.266-3;1036;F2;31/01/2025;01/01/1900
76.972.531-8-77.134.101-2-6310838-CH;76.972.531-8;77.134.101-2;6310838;CH;21/01/2025;01/01/1900
76.595.785-0-76.595.785-0-114056-GC;76.595.785-0;76.595.785-0;114056;GC;31/01/2025;01/01/1900
77.483.964-K-77.483.964-K-20013879-GC;77.483.964-K;77.483.964-K;20013879;GC;31/01/2025;01/01/1900
76.989.798-4-77.014.665-8-1883-FZ;76.989.798-4;77.014.665-8;1883;FZ;01/01/1900;01/01/1900
71.614.000-8-76.296.619-0-115553-FS;71.614.000-8;76.296.619-0;115553;FS;01/01/1900;01/01/1900
76.543.532-3-76.543.532-3-14118-GC;76.543.532-3;76.543.532-3;14118;GC;31/01/2025;01/01/1900
76.841.916-7-76.487.452-8-838-FZ;76.841.916-7;76.487.452-8;838;FZ;01/01/1900;01/01/1900
77.545.580-2-76.753.520-1-24753-FZ;77.545.580-2;76.753.520-1;24753;FZ;01/01/1900;01/01/1900
76.343.729-9-76.763.747-0-1032-FZ;76.343.729-9;76.763.747-0;1032;FZ;01/01/1900;01/01/1900
99.518.440-0-77.505.400-K-34400-FZ;99.518.440-0;77.505.400-K;34400;FZ;01/01/1900;01/01/1900
76.343.729-9-76.763.747-0-1033-FZ;76.343.729-9;76.763.747-0;1033;FZ;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18605-FZ;76.058.534-3;91.125.000-4;18605;FZ;01/01/1900;01/01/1900
71.614.000-8-76.296.619-0-115597-FS;71.614.000-8;76.296.619-0;115597;FS;01/01/1900;01/01/1900
76.075.072-7-77.934.988-8-165495-FZ;76.075.072-7;77.934.988-8;165495;FZ;01/01/1900;01/01/1900
76.075.072-7-96.556.940-5-164958-FZ;76.075.072-7;96.556.940-5;164958;FZ;01/01/1900;01/01/1900
77.723.012-3-77.015.123-6-39-FZ;77.723.012-3;77.015.123-6;39;FZ;01/01/1900;01/01/1900
76.815.483-K-76.518.034-1-561-FZ;76.815.483-K;76.518.034-1;561;FZ;01/01/1900;01/01/1900
99.518.440-0-76.076.519-8-34553-FZ;99.518.440-0;76.076.519-8;34553;FZ;01/01/1900;01/01/1900
76.729.243-0-96.565.580-8-2642-FZ;76.729.243-0;96.565.580-8;2642;FZ;01/01/1900;01/01/1900
77.859.490-0-84.071.600-7-219294-FZ;77.859.490-0;84.071.600-7;219294;FZ;01/01/1900;01/01/1900
77.859.490-0-84.071.600-7-219110-FZ;77.859.490-0;84.071.600-7;219110;FZ;01/01/1900;01/01/1900
96.669.540-4-61.509.000-K-27321-FZ;96.669.540-4;61.509.000-K;27321;FZ;01/01/1900;01/01/1900
76.474.349-0-81.290.800-6-59200-FZ;76.474.349-0;81.290.800-6;59200;FZ;01/01/1900;01/01/1900
77.298.856-7-88.173.100-2-588-FZ;77.298.856-7;88.173.100-2;588;FZ;22/01/2025;01/01/1900
76.075.072-7-76.488.038-2-165095-FZ;76.075.072-7;76.488.038-2;165095;FZ;01/01/1900;01/01/1900
77.795.790-2-69.072.600-9-2983-FZ;77.795.790-2;69.072.600-9;2983;FZ;01/01/1900;01/01/1900
77.795.790-2-69.072.600-9-2967-FZ;77.795.790-2;69.072.600-9;2967;FZ;01/01/1900;01/01/1900
76.754.328-K-96.566.940-K-3185-FZ;76.754.328-K;96.566.940-K;3185;FZ;22/01/2025;01/01/1900
76.972.531-8-76.092.820-8-7576121-CH;76.972.531-8;76.092.820-8;7576121;CH;31/01/2025;01/01/1900
99.518.440-0-79.731.370-K-34585-FZ;99.518.440-0;79.731.370-K;34585;FZ;31/01/2025;01/01/1900
76.005.740-1-77.196.779-5-6465-FZ;76.005.740-1;77.196.779-5;6465;FZ;01/01/1900;01/01/1900
77.545.580-2-87.049.000-3-24754-FZ;77.545.580-2;87.049.000-3;24754;FZ;01/01/1900;01/01/1900
77.989.178-K-13.048.899-4-3452502-CH;77.989.178-K;13.048.899-4;3452502;CH;31/01/2025;01/01/1900
77.989.178-K-13.048.899-4-3452501-CH;77.989.178-K;13.048.899-4;3452501;CH;31/01/2025;01/01/1900
76.458.074-5-76.414.100-8-453-FS;76.458.074-5;76.414.100-8;453;FS;01/01/1900;01/01/1900
76.426.254-9-76.411.321-7-3031-FZ;76.426.254-9;76.411.321-7;3031;FZ;01/01/1900;01/01/1900
77.859.490-0-76.096.542-1-218990-FZ;77.859.490-0;76.096.542-1;218990;FZ;01/01/1900;01/01/1900
76.972.531-8-76.799.988-7-8262814-CH;76.972.531-8;76.799.988-7;8262814;CH;31/01/2025;01/01/1900
76.972.531-8-77.639.065-8-4559610-CH;76.972.531-8;77.639.065-8;4559610;CH;28/01/2025;01/01/1900
77.545.580-2-91.426.000-0-24859-FZ;77.545.580-2;91.426.000-0;24859;FZ;01/01/1900;01/01/1900
52.003.831-0-76.098.129-K-1885-FZ;52.003.831-0;76.098.129-K;1885;FZ;01/01/1900;01/01/1900
76.007.177-3-99.522.260-4-5911-FZ;76.007.177-3;99.522.260-4;5911;FZ;01/01/1900;01/01/1900
96.799.690-4-59.301.810-5-19510-FZ;96.799.690-4;59.301.810-5;19510;FZ;01/01/1900;01/01/1900
77.011.887-5-96.786.880-9-657-FZ;77.011.887-5;96.786.880-9;657;FZ;01/01/1900;01/01/1900
